Epoch,Train_loss,Train_acc,Train_jcn,Train_wp,Val_loss,Val_acc,Val_jcn,Val_wp
1,12.243027354551662,0.0016570829563983462,0.060163581831241035,0.45009617037772515,19.948075638616405,0.00558,0.06313384610930847,0.48116636100657306
2,11.710800262599303,0.0036755551774280792,0.06405942673070161,0.4700126731251421,19.451870476898236,0.01818,0.08227099568967405,0.5238820882406522
3,11.170646833356747,0.007006892934332526,0.07080806031201384,0.5092111520494661,18.276005964966277,0.03064,0.09789444737819382,0.563943350151166
4,10.566961095040934,0.011357613800542786,0.0771515686607753,0.5343252754321346,18.10075375547319,0.04284,0.11129201467108205,0.5885332442498238
5,9.981425843571506,0.016652786092679565,0.08373936425782927,0.5521067944371648,17.658058772144308,0.0588,0.12804011911988025,0.6099161784333085
6,9.504432338679598,0.02429659833573609,0.0922475877011668,0.5664598901192213,17.329027983273022,0.07478,0.1440830817099099,0.6230767068426929
7,9.113410950572169,0.033321182952729816,0.10177300614916789,0.5790748843671745,17.219964345045156,0.0927,0.162039589787551,0.6379176921789054
8,8.782503535090084,0.04431350479679854,0.11301767138861817,0.5908439781333696,16.586931089069935,0.11012,0.17910365249772428,0.6499895914141953
9,8.479608123904388,0.05752567776097886,0.12625437023743272,0.6026475594395825,16.463664834460666,0.133,0.201509865998045,0.6628851955982913
10,8.218155380941644,0.07137867272572584,0.13991265922613488,0.6131283227548064,15.987299579403734,0.14804,0.2163717059240815,0.6738224938858475
11,7.969587149787127,0.08573277332307186,0.15399475768946255,0.6234463223486453,15.584044372989824,0.16714,0.23512098724637362,0.6848066863250867
12,7.749358676453255,0.10094624666417415,0.16878912160471607,0.6334527453720787,15.797282160686107,0.18374,0.25099331434717004,0.6928702344234053
13,7.561935915745516,0.11465484203074229,0.18208532038888015,0.641956406559482,15.427155249934978,0.19916,0.26577270138086934,0.7009253391845464
14,7.3733360321823325,0.1293117915150796,0.19613659893732133,0.6505094033318346,15.395041922819766,0.21336,0.27913616722758006,0.7075565559431403
15,7.199108510352146,0.14490850919513226,0.2111560267406982,0.6591837895612547,15.376602547482022,0.22478,0.2902881190632185,0.7129182587742753
16,7.0410411915462765,0.16014227653381644,0.22562991071523328,0.6674540602703845,15.178449168794474,0.23394,0.2990815039346076,0.7188024025652721
17,6.897660721804035,0.17309062752943216,0.23804880601132072,0.6743010788958028,15.120568391734189,0.2487,0.3127735425545072,0.7242330783200435
18,6.771036346227987,0.18737213805850447,0.25158935549638667,0.6812192742223759,14.74830223559952,0.25764,0.3214382208173889,0.7284831200083508
19,6.634517397885839,0.20136094669937643,0.2648993656940595,0.6888770133631739,14.715746861782755,0.26772,0.3310893404965493,0.7341561685333017
20,6.518426378784293,0.21585710527979568,0.2784655991647058,0.6955136774791016,14.566082976113844,0.27642,0.33932916497198673,0.7375280556491567
21,6.409680385382212,0.22917777307720227,0.29105290879384166,0.7019771526150044,14.411467121709777,0.28486,0.34725510004114,0.7428281252549264
22,6.312063883976769,0.24196533316889993,0.3030561847689183,0.707589818619389,14.397099537732071,0.29188,0.3539486062396711,0.7451861189123229
23,6.212310622810528,0.2548012866394467,0.3150951578338248,0.7135562539004101,14.205735157645154,0.29664,0.3584698385463959,0.7474907993313917
24,6.113816928398429,0.26673805990944194,0.32631021732742116,0.7191158656101171,14.299304603159808,0.30744,0.3685329108516398,0.7513228931918704
25,6.031822515594369,0.27693111046413155,0.33587354899192445,0.7238690759543145,14.198017255242256,0.31344,0.3743424887859615,0.7541294589945584
26,5.948273371977547,0.28841204932690273,0.3465661330032993,0.7285535199605508,14.056678958668329,0.32004,0.38049900844592965,0.7566380239756834
27,5.863739420501787,0.298927462227797,0.3563642006326389,0.733397877095169,14.013147960850187,0.32902,0.38870503265001294,0.7601365502711603
28,5.797870834704774,0.30921964115529044,0.36591286427391717,0.7373790131524055,13.712578377647677,0.331,0.3907614118048846,0.7616292135390768
29,5.71516086948175,0.31905052190698013,0.37515736827009244,0.7420904662451825,13.778956347611064,0.338,0.3974786057807775,0.7654265880946355
30,5.65947422155339,0.3279767586895385,0.38348701657426976,0.7460088451379118,13.621307026841862,0.33964,0.3989515136382882,0.764421907478183
31,5.594796457967463,0.3362176827845238,0.39120993519811126,0.7495781442699038,13.819036922776284,0.34926,0.4076673400858196,0.7692153428127528
32,5.529299790766508,0.34610007906853674,0.4003577724894612,0.7534023715846938,13.630031176442857,0.35314,0.41155928821004784,0.7715262743524013
33,5.46603227996348,0.35515042145169207,0.4087781310012574,0.7573652356741606,13.60495566693899,0.3579,0.4157637845195645,0.772788787860644
34,5.408509212862595,0.3625920742572982,0.4157689044279001,0.7602789944464983,13.487811703428184,0.36102,0.418832605910413,0.7746527994188147
35,5.36202218495981,0.36884418658925805,0.42148202622656705,0.7625775564703657,13.621062580844717,0.36644,0.42364025878912975,0.7752036827315588
36,5.304759151228403,0.37815835094097805,0.42996314557796067,0.7659133679525147,13.562784473666655,0.3696,0.42682175575366904,0.7776739036348129
37,5.2592562891035675,0.38265581302047275,0.4343996673751624,0.7686183088976453,13.331295406602967,0.37422,0.4310666437133534,0.7797154393405761
38,5.208386305406379,0.3911472899317575,0.4422184562971017,0.7717538025757078,13.388046258888739,0.37588,0.4331242921576018,0.7817188302036381
39,5.167189823290145,0.39540824888558634,0.446246678971731,0.773628663085004,13.456254777759945,0.38094,0.43716187324528344,0.7817510534679072
40,5.1166869093744065,0.40221688507431114,0.45254524062723517,0.776267952595709,13.373712242980845,0.38178,0.4383600490300212,0.7840761661325413
41,5.072225417433436,0.40994187330769527,0.4595885462712744,0.7791499823953587,13.41827478934337,0.39022,0.4461624273765716,0.7867566197198328
42,4.59380762119281,0.49048328594164536,0.53437010086832,0.810947878432668,13.022243084431233,0.42198,0.4749163999470474,0.7953327015219994
43,4.467147086429409,0.5021960446998713,0.5450417581627544,0.8150608633266248,13.041282513673622,0.42684,0.479167589401711,0.7966342278169448
44,4.426608189142813,0.5048366060006229,0.5474910517566177,0.8162811243439927,12.935177682282694,0.42958,0.48176042180718337,0.7987308181474589
45,4.40064336692017,0.5053439559401701,0.5480605009801907,0.816776896212525,12.940717090549457,0.42916,0.4814546534328674,0.7982612025365696
46,4.381410514154674,0.5067278504675815,0.5493258597447384,0.8172589104523855,12.915817173339354,0.43212,0.48430414481572936,0.7998236319469769
47,4.362118493365775,0.5081656021424217,0.5507089112635084,0.8179877137420516,12.89143156471263,0.4329,0.4848346951084426,0.7997653327492549
48,4.348410001006784,0.508185115601635,0.550773833387697,0.8183006524295163,12.85617882134788,0.43322,0.4852655879915014,0.8001179571944874
49,4.334779459124829,0.5101715857495549,0.5525263377663153,0.8187588878444318,12.883980317623292,0.43364,0.48582293095157925,0.8004748385213876
50,4.3159208624715175,0.5118193022455308,0.5540683314247696,0.8193024074112871,12.830791447631917,0.43528,0.48708024964814717,0.8006298110871638
51,4.304961093876971,0.5124858820122591,0.5547309722576436,0.8198258388043264,12.814778538932465,0.43682,0.4887348009688851,0.8018701412787952
52,4.294769562356144,0.5133390104490672,0.5555835802085358,0.8201875929339215,12.830332315105952,0.43754,0.48930147360644033,0.8017918515296147
53,4.285765829230404,0.5145051347716574,0.5565763181289469,0.8204891537037603,12.771633732640852,0.4392,0.49091612060798673,0.8024449238983069
54,4.2701650579696455,0.5152677207577154,0.5572740169085052,0.8209169943569572,12.796676304114882,0.43906,0.49077324856644927,0.8024866720788132
55,4.2583208956766265,0.5165883916772754,0.5585007890974033,0.8215437585158557,12.76596030272128,0.4383,0.490121213376111,0.8025048318531539
56,4.251827130739173,0.5176397768596912,0.5595063793811432,0.8219138743253753,12.756113472478322,0.43838,0.4901977218023735,0.8024078975291191
57,4.232440224478057,0.5194857501012748,0.5611951797760772,0.8225583523596998,12.70426044053777,0.44002,0.4916994350466287,0.8029894690585742
58,4.227038546650232,0.5198135762160593,0.561425924890873,0.8223945875990613,12.733248519168646,0.441,0.4925924301728907,0.8034972126318063
59,4.214237292810882,0.5216501829972205,0.5631417385552698,0.8232644366731451,12.691545651318874,0.43982,0.49161159218241796,0.8033357788053388
60,4.2073691186868665,0.5221286530171321,0.5636409354913998,0.8235322469885789,12.635081005549889,0.44116,0.49291894481255855,0.8038492176713913
61,4.198358305066689,0.5231870630448646,0.5645797709682124,0.8239831755171676,12.644916022540052,0.44196,0.49354054390899155,0.8040226211756174
62,4.192051158600845,0.5242907442979721,0.5655793223946417,0.8243103864103162,12.712823346455513,0.44356,0.4949459459679012,0.8041286452660795
63,4.1849279265359645,0.5242259596133837,0.5654894374258973,0.8243367663647295,12.705904406741125,0.4431,0.4948104126637515,0.8049043683114782
64,4.172596384007267,0.5250111812121293,0.5661947886406734,0.8246982402555483,12.691771169322836,0.44424,0.49564074503683686,0.8050491989204368
65,4.18466632587513,0.5321960368944876,0.5726702649586204,0.8264681864195373,12.063356874256504,0.4439,0.4943216965104924,0.7999350014946246
66,4.1098424279892445,0.5411862778232658,0.5807225677603445,0.8291522721089383,12.086806423248518,0.44584,0.49604259035183706,0.8002143008101392
67,4.0991610255051825,0.5424304559827096,0.5818567909012562,0.8297751951092848,12.05810105495859,0.44618,0.496411489229131,0.8005699001356842
68,4.1028048753212545,0.5420136484939122,0.5813868879995728,0.8293891000101987,12.062002608294257,0.44758,0.49765336693622725,0.8012170034931761
69,4.094563393829402,0.5425740750425199,0.5818879564798433,0.82953948238536,12.05162670773312,0.4485,0.4985769268449561,0.8016060758497486
70,4.090445028697542,0.5435302345439743,0.582806927776161,0.8299730073976372,12.050891854599687,0.44806,0.49816968224408237,0.801432969223113
71,4.089783882341929,0.5429947852231598,0.5823170069641014,0.8297796807613903,12.047373700106075,0.44976,0.4997115999858231,0.8024321473617754
72,4.089794827236787,0.5432578266533559,0.5825647875197969,0.8297651377778271,12.026788627002388,0.44806,0.4981493667070821,0.8017323809070747
73,4.088814557819262,0.5430306899881124,0.5823720128251242,0.8298862634627777,12.049240605425199,0.44924,0.49921206228828996,0.8019164702021431
74,4.0826429612437325,0.5431508928968667,0.582505772326715,0.8298813263403039,11.993698817050033,0.44912,0.49919809977669827,0.8023827826563006
75,4.081559072554863,0.543157137203815,0.5824865445020849,0.830055588083891,12.008167610300216,0.44958,0.49949686318958425,0.802415897686646
