Epoch,Train_loss,Train_acc,Train_jcn,Train_wp,Val_loss,Val_acc,Val_jcn,Val_wp
-1,0,0,0,0,1.2473143136978149,0.69758,0.7363923524963534,0.8977057100876609
1,1.3093272539287089,0.6912260462531427,0.7282116754148256,0.8908066747381124,1.221835890197754,0.70124,0.7394675125369108,0.8986033881975258
2,1.3020624241168508,0.6925990132433945,0.7293803333868861,0.8913099543605034,1.2169423683929443,0.70034,0.7388011324083595,0.8987773809259724
3,1.299604274613323,0.6934053093780904,0.7300848150986231,0.8915880292664704,1.218545042152405,0.70202,0.7403784651221039,0.8995843833126556
4,1.2968463995084791,0.6938580216318403,0.7304789805439185,0.8917809811643459,1.2148117910766603,0.70094,0.7393377912877599,0.8989801654835331
5,1.2934020635019126,0.6946042163121592,0.7311443381823651,0.8920598016254919,1.215521537399292,0.70134,0.7396232941368,0.8990376375587641
6,1.2894987713395902,0.6954151956770663,0.7318793231160045,0.892401829283061,1.2134020566177368,0.70172,0.7399226183100196,0.8992766635512737
7,1.287516729599972,0.695703994873424,0.7321421871240548,0.8925092779760436,1.21205682056427,0.70186,0.740033445887855,0.899152476353817
8,1.2864567762266197,0.6960966056727967,0.7324881585947938,0.8926497487896465,1.2106312218475341,0.70308,0.7411992722019957,0.8995839982641206
9,1.2837862777105822,0.6965641481555488,0.7328699429550176,0.8926942130203447,1.2116703803253175,0.70288,0.7410436145850003,0.8994936699600259
